PROBLEM_FILE = /tmp/tsp/18320.tmp/example.tmp
1987783 0.032265
1917110 0.032294
1885904 0.032301
1885743 0.032308
1466272 0.032321
1458923 0.032328
1455909 0.032342
1448576 0.032347
1393690 0.032355
1382693 0.032359
1379425 0.032413
1345650 0.032431
1275808 0.032445
1221703 0.032455
1210658 0.032459
1196684 0.032464
1193029 0.032469
1190719 0.032486
1190487 0.032491
1189763 0.032496
1142071 0.032503
1138736 0.032508
1121179 0.032518
1096430 0.032524
1080261 0.032529
1075143 0.032535
1055156 0.032540
1047569 0.032545
1047409 0.032552
1044485 0.032561
1033440 0.032565
1033160 0.032573
1029548 0.032596
1025868 0.032607
1007753 0.032615
1007521 0.032620
1001633 0.032628
998898 0.032646
995326 0.032965
994166 0.033002
993864 0.033035
993862 0.033195
993418 0.034701
992776 0.034780
992501 0.038126
Successes/Runs = 0/10000 
Cost.min = 992501, Cost.avg = 992502.17, Cost.max = 992776
Gap.min = 0.0000%, Gap.avg = 0.0001%, Gap.max = 0.0277%
Trials.min = 76, Trials.avg = 76.0, Trials.max = 76
Time.min = 0.02 sec., Time.avg = 0.06 sec., Time.max = 0.12 sec.

